"Pk";"Tm";"Player";"College";"Yrs";"G";"MP";"PTS";"TRB";"AST";"FG.";"3P.";"FT.";"MP.1";"PTS.1";"TRB.1";"AST.1";"WS";"WS.48";"BPM";"VORP";"year"
10;"MNL";"Rudy LaRusso";"Dartmouth College";"10";736;24487;11507;6936;1556;0,431;NA;0,767;33,3;15,6;9,4;2,1;61,4;0,12;NA;NA;1959
11;"SYR";"Gene Tormholen";"University of Tennessee";"6";271;3223;1191;1122;257;0,411;NA;0,579;11,9;4,4;4,1;0,9;2,3;0,034;NA;NA;1959
12;"STL";"Alan Seiden";"St. John's University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
13;"STL";"Cal Ramsey";"New York University";"2";13;222;103;73;12;0,383;NA;0,568;17,1;7,9;5,6;0,9;0,1;0,013;NA;NA;1959
14;"BOS";"Gene Guarilia";"George Washington University";"4";129;1082;413;294;36;0,376;NA;0,611;8,4;3,2;2,3;0,3;1,2;0,055;NA;NA;1959
15;"CIN";"Mike Mendenhall";"University of Cincinnati";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
16;"DET";"Gary Alcorn";"California State University, Fresno";"2";78;844;261;329;24;0,293;NA;0,598;10,8;3,3;4,2;0,3;-1,3;-0,072;NA;NA;1959
17;"PHW";"Jim Hickaday";"University of Memphis";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
18;"MNL";"Bobby Smith";"West Virginia University";"2";13;137;37;33;14;0,236;NA;0,688;10,5;2,8;2,5;1,1;-0,3;-0,097;NA;NA;1959
19;"SYR";"Jon Cincebox";"Syracuse University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
20;"NYK";"Bob Anderegg";"Michigan State University";"1";33;373;133;69;29;0,385;NA;0,548;11,3;4;2,1;0,9;0;0,002;NA;NA;1959
21;"STL";"Hank Stein";"Xavier University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
22;"BOS";"Ralph Croswaite";"Western Kentucky University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
23;"CIN";"Leo Byrd";"Marshall University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
24;"DET";"George Lee";"University of Michigan";"7";297;5158;2229;1235;258;0,379;NA;0,734;17,4;7,5;4,2;0,9;6,6;0,061;NA;NA;1959
25;"PHW";"Ron Stevenson";"Texas Christian University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
26;"MNL";"Wilson Eison";"Purdue University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
27;"SYR";"Paul Neumann";"Stanford University";"6";451;11003;4989;1318;1453;0,442;NA;0,799;24,4;11,1;2,9;3,2;28,3;0,124;NA;NA;1959
28;"NYK";"Johnny Cox";"University of Kentucky";"1";73;1685;573;280;142;0,421;NA;0,704;23,1;7,8;3,8;1,9;0,5;0,015;NA;NA;1959
29;"STL";"Lee Harman";"Oregon State University";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1959
